timestamp,heading,roll,pitch,accel_x,accel_y,accel_z
1752552685073,131.35,-27.63,-23.54,-0.2,0.19,9.83
1752552692072,315.24,6.33,18.87,-0.07,0.1,0.8
1752552700579,91.26,20.57,19.0,0.07,0.18,9.73
1752552700772,70.72,11.84,23.5,0.04,0.19,9.76
1752552706078,61.98,7.88,24.35,-0.06,0.04,-0.07
1752552710872,134.9,-11.16,21.03,0.09,0.06,0.1
1752552710972,134.57,-13.08,21.81,0.1,0.07,0.1
1752552711772,124.08,-25.42,24.99,-0.04,-0.15,10.08
1752552711872,121.83,-26.47,24.99,0.09,0.1,0.09
1752552712881,101.1,-30.0,22.0,0.08,0.1,0.09
1752552713975,42.57,-16.7,6.95,0.12,0.07,9.97
1752552714073,38.08,-14.92,5.5,-0.06,-0.04,-0.0
1752552714272,29.15,-11.14,2.54,0.12,0.07,9.97
1752552716587,323.72,24.39,-21.0,-0.04,-0.04,-0.1
1752552716872,315.4,29.74,-24.84,-0.02,-0.03,-0.1
1752552716973,315.09,29.94,-24.97,-0.01,-0.02,-0.1
1752552717072,315.0,30.0,-25.0,0.2,0.2,9.8
1752552719171,0.7,2.76,-7.47,0.19,0.18,9.74
1752552721275,90.92,-29.44,20.43,6319.0,-18.81,8.73
1752552721371,94.73,-29.77,21.26,-0.02,-0.06,0.05
1752552721471,98.42,-29.96,22.01,-0.03,-0.07,0.0
1752552725072,103.4,23.43,-2.37,-0.09,-0.05,0.1
