timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z
1752855095958,342.0,68.0,-68.0,9.0,3.0,1.0,0.0,-0.1,-0.1,0.75,0.32,-0.57,0.12,0.0,0.0,0.0
1752855095958,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.1,-0.0,0.75,0.32,-0.57,0.12,0.0,0.0,0.0
1752855095967,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.0,-0.1,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096005,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.1,0.0,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096047,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.0,-0.1,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096083,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.0,-0.1,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096239,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.0,-0.0,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096473,342.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.0,-0.0,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096506,343.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.1,-0.1,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096556,343.0,68.0,-68.0,9.0,3.0,1.0,0.0,-0.1,-0.0,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096589,343.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.0,-0.1,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
1752855096740,343.0,68.0,-68.0,9.0,3.0,1.0,0.1,-0.1,0.0,0.75,0.32,-0.57,0.11,0.0,0.0,0.0
