timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z
1752860110069,328.0,-52.0,-139.0,-8.0,4.0,-5.0,0.1,0.3,0.1,0.5,0.16,0.84,0.15,0.0,0.0,0.0
1752860110069,327.0,-51.0,-141.0,-7.0,3.0,-5.0,0.4,-0.4,0.0,0.49,0.16,0.85,0.14,0.0,0.0,0.0
1752860110069,327.0,-51.0,-141.0,-7.0,4.0,-5.0,0.3,-0.0,-0.2,0.49,0.15,0.85,0.15,0.0,0.0,0.0
1752860110070,327.0,-51.0,-141.0,-7.0,4.0,-5.0,0.2,0.1,-0.3,0.49,0.15,0.85,0.15,0.0,0.0,0.0
1752860110070,326.0,-51.0,-141.0,-7.0,4.0,-5.0,0.3,0.3,-0.1,0.48,0.15,0.85,0.15,0.0,0.0,0.0
1752860110070,325.0,-50.0,-141.0,-7.0,4.0,-5.0,0.0,0.1,-0.1,0.48,0.15,0.85,0.15,0.0,0.0,0.0
1752860110070,324.0,-50.0,-140.0,-8.0,4.0,-6.0,-0.6,-0.0,-1.0,0.48,0.15,0.85,0.16,0.0,0.0,0.0
1752860110122,322.0,-49.0,-141.0,-8.0,4.0,-6.0,-0.7,-0.1,-1.0,0.47,0.15,0.86,0.16,0.0,0.0,0.0
1752860110122,320.0,-48.0,-142.0,-7.0,4.0,-5.0,0.0,-0.4,0.3,0.46,0.15,0.86,0.16,0.0,0.0,0.0
1752860110162,319.0,-47.0,-142.0,-6.0,3.0,-4.0,0.8,-0.8,1.3,0.45,0.14,0.86,0.17,0.0,0.0,0.0
1752860110216,318.0,-47.0,-143.0,-6.0,4.0,-4.0,0.9,-0.5,1.2,0.44,0.13,0.87,0.17,0.0,0.0,0.0
1752860110381,321.0,-47.0,-146.0,-6.0,4.0,-6.0,0.8,0.5,-0.4,0.44,0.13,0.87,0.17,0.0,0.0,0.0
1752860110408,320.0,-47.0,-146.0,-6.0,3.0,-6.0,0.8,-0.5,-0.3,0.44,0.12,0.88,0.16,0.0,0.0,0.0
1752860110449,317.0,-46.0,-146.0,-6.0,3.0,-6.0,0.6,-1.4,-0.1,0.43,0.11,0.88,0.17,0.0,0.0,0.0
1752860110493,314.0,-45.0,-146.0,-7.0,2.0,-6.0,0.1,-1.4,-0.2,0.42,0.1,0.88,0.17,0.0,0.0,0.0
1752860110575,313.0,-43.0,-148.0,-7.0,4.0,-6.0,-0.4,0.1,-0.0,0.4,0.1,0.9,0.17,0.0,0.0,0.0
1752860110619,313.0,-42.0,-150.0,-7.0,4.0,-6.0,-0.5,0.1,0.3,0.39,0.1,0.9,0.17,0.0,0.0,0.0
1752860110769,314.0,-41.0,-151.0,-7.0,4.0,-6.0,-0.5,0.1,0.2,0.38,0.09,0.91,0.16,0.0,0.0,0.0
1752860110816,314.0,-42.0,-151.0,-7.0,3.0,-6.0,-0.4,-0.1,0.2,0.38,0.09,0.9,0.16,0.0,0.0,0.0
1752860110875,313.0,-42.0,-150.0,-7.0,4.0,-6.0,-0.3,-0.1,-0.1,0.39,0.09,0.9,0.17,0.0,0.0,0.0
1752860110922,312.0,-42.0,-149.0,-7.0,4.0,-6.0,-0.1,0.1,-0.2,0.39,0.09,0.9,0.17,0.0,0.0,0.0
1752860111120,309.0,-42.0,-147.0,-6.0,4.0,-6.0,0.1,-0.2,-0.3,0.39,0.09,0.9,0.19,0.0,0.0,0.0
1752860111277,310.0,-43.0,-148.0,-6.0,3.0,-6.0,0.4,-0.6,-0.2,0.4,0.07,0.9,0.19,0.0,0.0,0.0
1752860111327,311.0,-44.0,-149.0,-6.0,3.0,-6.0,0.4,-0.2,0.0,0.4,0.07,0.9,0.18,0.0,0.0,0.0
