timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z
1752860454248,173.0,-38.0,-136.0,-6.0,6.0,-6.0,0.1,0.3,0.1,0.03,0.7,-0.55,-0.46,0.0,0.0,0.0
1752860454249,173.0,-38.0,-136.0,-6.0,6.0,-6.0,-0.1,0.3,0.0,0.03,0.69,-0.55,-0.46,0.0,0.0,0.0
1752860454249,173.0,-37.0,-136.0,-6.0,6.0,-6.0,-0.1,0.2,0.0,0.03,0.69,-0.55,-0.46,0.0,0.0,0.0
1752860454249,172.0,-37.0,-136.0,-6.0,5.0,-6.0,-0.1,-0.1,0.0,0.03,0.69,-0.55,-0.46,0.0,0.0,0.0
1752860454249,168.0,-36.0,-135.0,-6.0,5.0,-6.0,-0.1,-0.2,-0.0,0.05,0.7,-0.55,-0.46,0.0,0.0,0.0
1752860454386,169.0,-36.0,-135.0,-6.0,6.0,-6.0,0.1,0.2,-0.0,0.04,0.7,-0.55,-0.46,0.0,0.0,0.0
1752860455126,169.0,-37.0,-135.0,-6.0,5.0,-6.0,-0.1,-0.1,-0.0,0.04,0.7,-0.55,-0.46,0.0,0.0,0.0
1752860455165,169.0,-37.0,-135.0,-6.0,6.0,-6.0,0.0,0.0,0.0,0.04,0.7,-0.55,-0.47,0.0,0.0,0.0
1752860455212,169.0,-37.0,-135.0,-6.0,6.0,-5.0,-0.0,0.1,0.0,0.04,0.7,-0.55,-0.46,0.0,0.0,0.0
1752860455262,169.0,-37.0,-135.0,-6.0,5.0,-5.0,-0.0,-0.1,0.1,0.04,0.7,-0.54,-0.46,0.0,0.0,0.0
1752860455306,169.0,-37.0,-135.0,-6.0,6.0,-6.0,0.0,0.0,0.0,0.04,0.7,-0.54,-0.46,0.0,0.0,0.0
1752860455453,172.0,-38.0,-135.0,-6.0,6.0,-6.0,0.0,0.0,0.0,0.04,0.7,-0.54,-0.46,0.0,0.0,0.0
1752860455710,172.0,-38.0,-135.0,-6.0,6.0,-5.0,-0.1,-0.2,0.0,0.03,0.7,-0.54,-0.47,0.0,0.0,0.0
1752860456061,177.0,-41.0,-132.0,-6.0,6.0,-5.0,0.3,0.1,-0.0,0.03,0.68,-0.54,-0.49,0.0,0.0,0.0
1752860456404,177.0,-40.0,-131.0,-7.0,5.0,-5.0,-0.3,-0.4,-0.0,0.01,0.67,-0.55,-0.5,0.0,0.0,0.0
1752860456762,180.0,-42.0,-131.0,-6.0,6.0,-5.0,0.1,0.3,-0.5,0.01,0.66,-0.56,-0.5,0.0,0.0,0.0
