timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z
1752860599377,26.0,-63.0,154.0,-10.0,-4.0,-1.0,0.7,-1.0,-0.8,0.53,0.01,0.84,-0.12,0.0,0.0,0.0
1752860599377,21.0,-70.0,111.0,-8.0,-4.0,-3.0,-0.1,1.2,-1.1,0.65,-0.12,0.74,-0.12,0.0,0.0,0.0
1752860599377,19.0,-69.0,110.0,-8.0,-3.0,-3.0,0.8,0.6,-1.7,0.65,-0.13,0.74,-0.11,0.0,0.0,0.0
1752860599377,18.0,-67.0,102.0,-8.0,-4.0,-2.0,1.4,0.2,-1.3,0.67,-0.16,0.72,-0.11,0.0,0.0,0.0
1752860599377,18.0,-66.0,96.0,-7.0,-3.0,-1.0,1.4,0.7,-1.0,0.68,-0.19,0.7,-0.11,0.0,0.0,0.0
1752860599389,20.0,-57.0,85.0,-5.0,-7.0,1.0,3.5,-1.3,0.3,0.69,-0.21,0.68,-0.11,0.0,0.0,0.0
1752860599430,22.0,-54.0,83.0,-4.0,-9.0,2.0,3.5,-3.5,0.0,0.72,-0.29,0.62,-0.14,0.0,0.0,0.0
1752860599471,26.0,-50.0,83.0,-4.0,-11.0,1.0,3.3,-4.6,0.0,0.72,-0.3,0.61,-0.16,0.0,0.0,0.0
1752860599509,31.0,-48.0,81.0,-3.0,-8.0,0.0,4.6,-1.0,-0.5,0.71,-0.3,0.6,-0.19,0.0,0.0,0.0
1752860600211,47.0,-69.0,-180.0,-8.0,2.0,-4.0,1.5,2.3,-0.2,0.51,0.31,0.76,-0.23,0.0,0.0,0.0
1752860600257,47.0,-71.0,179.0,-8.0,2.0,-4.0,1.0,1.8,-0.4,0.53,0.33,0.75,-0.23,0.0,0.0,0.0
1752860600301,48.0,-72.0,177.0,-9.0,2.0,-4.0,0.6,1.8,-0.8,0.54,0.32,0.75,-0.24,0.0,0.0,0.0
1752860600452,43.0,-76.0,153.0,-10.0,1.0,-3.0,-0.2,2.1,-1.0,0.55,0.3,0.74,-0.24,0.0,0.0,0.0
