timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z
1752860827098,8.0,-13.0,-106.0,-2.0,10.0,-3.0,0.3,0.4,-0.3,-0.63,-0.77,-0.11,0.03,0.0,0.0,0.0
1752860827098,7.0,-14.0,-108.0,-2.0,9.0,-3.0,0.3,-0.0,-0.3,-0.6,-0.79,-0.14,0.04,0.0,0.0,0.0
1752860827098,6.0,-14.0,-108.0,-2.0,9.0,-3.0,0.5,-0.0,-0.1,-0.59,-0.79,-0.15,0.03,0.0,0.0,0.0
1752860827098,6.0,-13.0,-108.0,-2.0,9.0,-3.0,0.6,0.0,-0.1,-0.59,-0.79,-0.16,0.03,0.0,0.0,0.0
1752860827098,6.0,-13.0,-109.0,-2.0,9.0,-3.0,0.0,0.3,0.5,-0.58,-0.8,-0.15,0.03,0.0,0.0,0.0
1752860827135,11.0,-15.0,-112.0,-3.0,9.0,-3.0,0.0,0.0,0.0,-0.56,-0.81,-0.15,0.05,0.0,0.0,0.0
1752860827283,19.0,-16.0,-113.0,-2.0,9.0,-3.0,0.3,0.4,0.5,-0.55,-0.82,-0.14,0.06,0.0,0.0,0.0
1752860827333,22.0,-16.0,-113.0,-2.0,9.0,-3.0,0.3,0.0,0.3,-0.55,-0.82,-0.1,0.1,0.0,0.0,0.0
1752860827367,25.0,-17.0,-113.0,-3.0,8.0,-4.0,0.0,-0.3,-0.0,-0.55,-0.82,-0.08,0.12,0.0,0.0,0.0
1752860827414,27.0,-17.0,-113.0,-3.0,8.0,-4.0,-0.1,-0.5,-0.4,-0.55,-0.82,-0.07,0.13,0.0,0.0,0.0
1752860854345,329.0,7.0,-34.0,6.0,5.0,-8.0,4.8,-0.2,-16.1,0.92,0.3,0.01,0.25,0.0,0.0,0.0
1752860854384,328.0,6.0,-31.0,6.0,6.0,-7.0,4.9,1.0,-14.9,0.93,0.28,0.02,0.26,0.0,0.0,0.0
1752860854525,326.0,6.0,-30.0,6.0,5.0,-5.0,5.2,-0.1,-13.6,0.92,0.27,0.03,0.27,0.0,0.0,0.0
1752860854574,326.0,7.0,-28.0,6.0,3.0,-5.0,4.4,-1.2,-13.9,0.93,0.25,0.01,0.29,0.0,0.0,0.0
1752860854614,325.0,7.0,-28.0,5.0,3.0,-6.0,4.4,-1.0,-14.6,0.92,0.25,0.01,0.29,0.0,0.0,0.0
1752860854651,325.0,8.0,-31.0,4.0,3.0,-4.0,2.5,-2.6,-13.7,0.92,0.27,0.01,0.29,0.0,0.0,0.0
1752860854700,323.0,9.0,-36.0,6.0,3.0,-7.0,3.5,-2.7,-13.9,0.9,0.31,0.01,0.3,0.0,0.0,0.0
1752860854844,326.0,7.0,-33.0,5.0,6.0,-5.0,4.3,0.7,-13.2,0.91,0.3,0.03,0.29,0.0,0.0,0.0
1752860854887,329.0,6.0,-24.0,5.0,7.0,-3.0,4.1,3.2,-11.6,0.94,0.23,0.01,0.27,0.0,0.0,0.0
1752860854932,332.0,5.0,-16.0,6.0,7.0,-2.0,5.2,4.7,-11.1,0.96,0.16,-0.01,0.25,0.0,0.0,0.0
1752860854976,334.0,5.0,-7.0,6.0,7.0,-1.0,5.5,6.4,-10.3,0.97,0.07,-0.03,0.22,0.0,0.0,0.0
1752860855123,336.0,5.0,4.0,7.0,6.0,1.0,7.1,6.9,-7.1,0.98,-0.01,-0.05,0.21,0.0,0.0,0.0
1752860855166,335.0,6.0,17.0,8.0,4.0,2.0,7.3,7.3,-7.1,0.96,-0.13,-0.08,0.21,0.0,0.0,0.0
1752860855203,335.0,6.0,19.0,8.0,4.0,2.0,7.5,7.4,-7.6,0.96,-0.15,-0.09,0.22,0.0,0.0,0.0
1752860855567,333.0,2.0,2.0,7.0,9.0,-0.0,6.3,8.7,-10.5,0.97,-0.01,-0.03,0.24,0.0,0.0,0.0
1752860855706,156.0,3.0,-10.0,3.0,6.0,-1.0,2.1,4.3,-11.0,-0.14,0.02,0.02,0.99,0.0,0.0,0.0
1752860855747,153.0,3.0,-13.0,4.0,4.0,-2.0,3.1,1.8,-11.6,-0.23,0.0,0.11,0.97,0.0,0.0,0.0
1752860855787,150.0,4.0,-16.0,5.0,4.0,-2.0,4.6,0.9,-11.9,-0.25,-0.0,0.13,0.96,0.0,0.0,0.0
1752860855942,147.0,7.0,-19.0,8.0,8.0,-8.0,15.3,-8.9,7.2,-0.27,-0.0,0.15,0.95,0.0,0.0,0.0
1752860856179,184.0,8.0,-36.0,6.0,9.0,-6.0,4.3,3.9,-13.6,0.03,0.08,0.3,0.95,0.0,0.0,0.0
1752860856229,175.0,9.0,-31.0,6.0,5.0,-1.0,3.9,0.6,-9.9,-0.02,0.07,0.27,0.96,0.0,0.0,0.0
1752860856274,167.0,11.0,-24.0,4.0,7.0,-3.0,1.5,2.9,-12.2,-0.09,0.07,0.22,0.97,0.0,0.0,0.0
1752860856648,202.0,17.0,-30.0,8.0,8.0,-6.0,5.1,2.8,-14.2,0.18,0.19,0.21,0.94,0.0,0.0,0.0
1752860856696,199.0,17.0,-30.0,3.0,7.0,-7.0,-0.7,1.9,-14.3,0.17,0.2,0.23,0.94,0.0,0.0,0.0
1752860856840,169.0,18.0,-12.0,4.0,3.0,-0.0,1.0,1.6,-9.6,0.09,0.19,0.21,0.95,0.0,0.0,0.0
1752860857090,164.0,17.0,-4.0,8.0,4.0,-7.0,6.1,0.7,-16.0,-0.13,0.14,0.07,0.98,0.0,0.0,0.0
1752860857132,158.0,10.0,-21.0,8.0,5.0,-6.0,6.2,1.7,-14.5,-0.18,0.06,0.2,0.96,0.0,0.0,0.0
1752860857178,158.0,10.0,-26.0,5.0,6.0,-6.0,2.8,0.8,-14.6,-0.19,0.05,0.22,0.96,0.0,0.0,0.0
1752860857221,156.0,10.0,-29.0,5.0,4.0,-7.0,3.3,-0.4,-15.2,-0.2,0.04,0.26,0.94,0.0,0.0,0.0
1752860857258,154.0,11.0,-30.0,4.0,5.0,-6.0,2.2,-0.6,-14.0,-0.21,0.04,0.27,0.94,0.0,0.0,0.0
1752860857303,154.0,13.0,-31.0,4.0,4.0,-7.0,1.8,-0.7,-14.8,-0.22,0.04,0.28,0.93,0.0,0.0,0.0
1752860857341,153.0,15.0,-32.0,5.0,4.0,-4.0,2.0,-1.0,-12.5,-0.22,0.07,0.29,0.93,0.0,0.0,0.0
1752860857388,152.0,16.0,-32.0,5.0,2.0,-4.0,2.8,-3.4,-12.0,-0.23,0.08,0.3,0.92,0.0,0.0,0.0
1752860857432,150.0,17.0,-33.0,4.0,2.0,-4.0,1.4,-2.9,-11.0,-0.24,0.08,0.3,0.92,0.0,0.0,0.0
1752860857473,149.0,18.0,-35.0,7.0,3.0,-4.0,4.2,-2.6,-11.8,-0.25,0.08,0.32,0.91,0.0,0.0,0.0
1752860857612,147.0,22.0,-40.0,11.0,7.0,-8.0,6.9,0.8,-14.6,-0.26,0.09,0.33,0.91,0.0,0.0,0.0
1752860857651,147.0,23.0,-38.0,9.0,6.0,-10.0,5.0,0.6,-16.0,-0.26,0.11,0.36,0.89,0.0,0.0,0.0
1752860857692,146.0,23.0,-34.0,7.0,8.0,-10.0,3.6,2.8,-17.6,-0.27,0.12,0.33,0.9,0.0,0.0,0.0
1752860857834,161.0,23.0,-17.0,16.0,-7.0,-9.0,0.0,0.0,0.0,-0.27,0.14,0.27,0.91,0.0,0.0,0.0
1752860857879,177.0,21.0,-30.0,-0.0,16.0,-8.0,-2.9,13.7,-17.8,-0.06,0.18,0.23,0.95,0.0,0.0,0.0
1752860857922,192.0,19.0,-47.0,2.0,23.0,-12.0,1.7,15.9,-18.6,0.1,0.21,0.36,0.9,0.0,0.0,0.0
1752860857975,197.0,18.0,-51.0,6.0,12.0,-10.0,2.5,4.7,-16.1,0.14,0.23,0.39,0.88,0.0,0.0,0.0
1752860858102,179.0,27.0,-28.0,-3.0,5.0,-9.0,-8.0,0.9,-16.0,0.11,0.23,0.36,0.9,0.0,0.0,0.0
1752860858143,176.0,29.0,-23.0,-3.0,4.0,-8.0,-7.8,0.7,-15.9,-0.03,0.25,0.2,0.95,0.0,0.0,0.0
